TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2024/11/23
TIME	02:53:02
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-760, Rev. 1.00
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  500.0000
LASTX	  250.0000
NPOINTS	     501
FIRSTY	     0.00323
MAXY	     1.25536
MINY	     0.00247
XYDATA
	110	108	105.99	103.98	101.98	99.98	97.99	95.98	93.99	91.98	90	87.98	85.98	83.99	81.99	79.99	77.99	75.99	74	71.99	69.98	67.99	65.99	63.99	61.99	59.97	57.99	55.97	54	51.99	49.99	47.97	45.99	44	41.99	39.98	37.98	35.98	33.98	32	29.97	27.98	25.96	23.92	21.96	20.01
500	0.0032272	0.00283875	0.00277045	0.0026807	0.00282373	0.00273261	0.00267132	0.00263384	0.00258584	0.00252283	0.00246955	0.00242037	0.00224503	0.00224331	0.0020517	0.00166663	0.000968372	-0.000141621	-0.000837624	-0.00135746	-0.00175672	-0.00207122	-0.00223325	-0.00246193	-0.00276663	-0.00279431	-0.00306812	-0.00320568	-0.00344962	-0.00354151	-0.00377387	-0.00391761	-0.00402	-0.0041113	-0.00430154	-0.00441659	-0.00450949	-0.00464004	-0.00466997	-0.00474755	-0.00477594	-0.00473489	-0.00464776	-0.00465115	-0.00449321	-0.00433468
499.5	0.0032149	0.0027705	0.00273148	0.00273088	0.00278119	0.00275975	0.00268212	0.00260324	0.00255762	0.00248914	0.00246396	0.00236833	0.00226724	0.00226492	0.00204735	0.0016437	0.000964681	-0.000100349	-0.000799025	-0.00135099	-0.00177995	-0.0020483	-0.00227121	-0.00244465	-0.00273047	-0.00282574	-0.00307544	-0.00321181	-0.00340621	-0.00352263	-0.00378522	-0.00395753	-0.00398806	-0.00415021	-0.00427001	-0.00439379	-0.0045067	-0.00466761	-0.00471524	-0.00479757	-0.0048174	-0.00477298	-0.00464361	-0.00466761	-0.00452476	-0.00432792
499	0.00325087	0.00277112	0.00274244	0.00267841	0.00279453	0.00273151	0.00266831	0.00260018	0.00255569	0.00248115	0.0023803	0.00238826	0.00228621	0.00221108	0.00198104	0.00165382	0.000948319	-0.000156091	-0.000824296	-0.00142776	-0.00181769	-0.00208028	-0.00226162	-0.00245715	-0.0027656	-0.00278419	-0.00312162	-0.00320465	-0.00344663	-0.00358051	-0.0037647	-0.0039338	-0.00399022	-0.00418094	-0.00427206	-0.00444846	-0.00456037	-0.00470422	-0.00475008	-0.00476736	-0.004858	-0.00474194	-0.00473796	-0.00465403	-0.00453239	-0.00438224
498.5	0.00322292	0.00270481	0.00271907	0.00270463	0.00272667	0.00269917	0.00262718	0.00257741	0.00255674	0.0024781	0.00241644	0.00234463	0.0022455	0.00223849	0.00199063	0.00159559	0.000916456	-0.000114065	-0.000849685	-0.00142571	-0.00182467	-0.00211286	-0.0023151	-0.00243306	-0.00273402	-0.00282698	-0.00310762	-0.00325712	-0.00342492	-0.0035547	-0.00375611	-0.00394778	-0.00401989	-0.00417889	-0.00428943	-0.00444825	-0.00458516	-0.00473757	-0.00478717	-0.00481176	-0.00487905	-0.00480107	-0.00475004	-0.00470544	-0.00456693	-0.00439533
498	0.00320562	0.00273912	0.00272605	0.00267414	0.00274441	0.00268412	0.0026211	0.00255784	0.00251787	0.00244487	0.00234984	0.00240276	0.0022646	0.00220218	0.00194107	0.00156141	0.000930392	-0.000164574	-0.000851074	-0.00147758	-0.00183224	-0.00211657	-0.00236359	-0.00250941	-0.0027426	-0.00284007	-0.00315356	-0.00326665	-0.00345304	-0.00358769	-0.00374455	-0.00395826	-0.00400043	-0.00422085	-0.00426201	-0.00444952	-0.00458483	-0.00473462	-0.00483007	-0.00482746	-0.00489434	-0.00477335	-0.00481184	-0.00468105	-0.00462195	-0.00440527
497.5	0.00320555	0.00270223	0.00269736	0.00270989	0.00268447	0.00266243	0.00257583	0.0025557	0.00254186	0.0024808	0.00236783	0.0023686	0.0022523	0.00218305	0.00199797	0.00156735	0.000870396	-0.000138327	-0.000854762	-0.0014451	-0.00183408	-0.00210944	-0.00233099	-0.00247568	-0.00271124	-0.00288504	-0.00312957	-0.00331578	-0.00342174	-0.00357278	-0.00377176	-0.00393451	-0.00404243	-0.0041674	-0.00431458	-0.00449633	-0.00459119	-0.00471515	-0.00482669	-0.00484814	-0.00488205	-0.00480941	-0.00479551	-0.00468284	-0.00460206	-0.00443896
497	0.00326917	0.00273567	0.00270526	0.00274155	0.0027232	0.00269707	0.00268127	0.00255012	0.00250213	0.00246079	0.00238464	0.00241119	0.00234425	0.00218234	0.00198455	0.00157602	0.000897306	-0.000118425	-0.00081223	-0.00143304	-0.00177575	-0.0020918	-0.0023371	-0.00244028	-0.00266384	-0.00285474	-0.00315386	-0.00320642	-0.0033703	-0.00353257	-0.0037218	-0.00391092	-0.00399728	-0.00418361	-0.00420107	-0.00442208	-0.00452264	-0.00468634	-0.00477406	-0.00478594	-0.00480442	-0.00475423	-0.00473932	-0.00462825	-0.00461078	-0.00432776
496.5	0.00331143	0.00274859	0.00274218	0.00276712	0.00272418	0.00268516	0.00266585	0.0026042	0.00256185	0.00252206	0.00239501	0.0024032	0.00231969	0.00221201	0.00204261	0.00164507	0.000902445	-9.18445E-005	-0.00078856	-0.00142113	-0.00177032	-0.00202619	-0.00226099	-0.00238922	-0.00268205	-0.00285994	-0.00308172	-0.00322487	-0.00331378	-0.00355321	-0.00371209	-0.00385096	-0.00400462	-0.00414503	-0.00424683	-0.00443696	-0.00452487	-0.00469135	-0.00478181	-0.00477071	-0.00483319	-0.00475996	-0.00471951	-0.00459252	-0.00454904	-0.00432898
496	0.00332847	0.00271967	0.002706	0.00277181	0.0026902	0.00272537	0.00268848	0.00256809	0.00251386	0.00250251	0.00237101	0.00242839	0.00237238	0.00218623	0.00198915	0.00157962	0.000880586	-9.99238E-005	-0.000764565	-0.00141691	-0.00172494	-0.00203713	-0.0023015	-0.00242106	-0.00264564	-0.00288031	-0.00308612	-0.00318472	-0.00332923	-0.00352375	-0.00364432	-0.0038594	-0.00395841	-0.00416481	-0.00423923	-0.00439253	-0.00451958	-0.00473311	-0.00476168	-0.00476126	-0.00481941	-0.00479874	-0.00475651	-0.00463826	-0.00456882	-0.00424975
